Series,Model,MAE,RMSE
LME_CA_Close,Naive,75.47644444444445,115.75557360231085
LME_CA_Close,ARIMA,257.96021848564453,356.5702780462536
LME_CA_Close,SARIMA,292.1098264494315,383.6606254291447
LME_ZS_Close,Naive,26.257777777777775,32.62875773165615
LME_ZS_Close,ARIMA,256.8010981701254,276.2552315029332
LME_ZS_Close,SARIMA,245.5281260921142,265.5185273169589
LME_PB_Close,Naive,14.950888888888894,19.31512130718084
LME_PB_Close,ARIMA,63.37787460606965,77.92635510847799
LME_PB_Close,SARIMA,74.45031633910615,88.92092689297013
